name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,replan_obs_count,replan_het_obs_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_new_0,60,1,2,5,3600,2.777777777777778e-05,10,4,3,dp,2,10,0.1,1000,15465,109408,109790,106,5091,106.0,122880,0.0068541868735855155,2429.8380000000034,499.3686640773211,1.0,86400.0,7450.127051498999,322,5175,322.0,171800,0.020821209182023924,3184.0179999999964,389.4876529927392,1.0,86400.0,6155.337717344681,389,5353,389.0,146340,0.025153572583252504,2820.021999999997,497.5917912421769,1.0,86400.0,6110.341729284093,642,6607,642.0,338280,0.04151309408341416,3290.0,234.43377288930952,1.0,86400.0,3180.72097195479,16395.96345257759
oa_het_new_1,30,20,2,1,21600,2.777777777777778e-05,2,16,2,dp,2,10,0.1,1000,3138,33752,33435,2277,2772,2277.0,206510,0.7256214149139579,21573.58,4798.081855058251,1.0,86400.0,7904.53121849679,2211,2742,2211.0,205440,0.7045889101338432,21560.460000000006,4767.248303962842,1.0,86400.0,8162.424727242906,2223,2753,2223.0,196990,0.7084130019120459,21560.460000000006,4804.018973506826,1.0,86400.0,8155.777458745508,2340,2747,2340.0,174500,0.745697896749522,21550.0,4875.253020932551,1.0,86400.0,8603.364012429784,571.0595984458923
oa_het_new_2,10,5,2,0.1,86400,2.777777777777778e-05,1,8,4,dp,2,10,0.1,1000,1511,4847,4825,264,1207,264.0,68260,0.17471872931833224,73673.3,9566.384312586171,1.0,86400.0,20835.21022714326,263,1202,263.0,69230,0.17405691594970218,73680.0,9354.67056660867,1.0,86400.0,21059.14445118646,266,1202,266.0,68240,0.17604235605559232,73680.0,9435.700767681048,1.0,86400.0,21051.301463997614,271,1207,271.0,79900,0.17935142289874256,73680.0,8943.89031354667,1.0,86400.0,20545.57901127674,56.36040186882019
oa_het_new_3,5,10,2,0.01,43200,2.777777777777778e-05,5,1,2,dp,2,10,0.1,1000,7918,5238,5217,889,2800,889.0,47390,0.11227582722909826,42992.0,12181.189429243423,1.0,86400.0,54605.839316972444,973,2697,973.0,49160,0.12288456680980045,42980.0,11909.358924734053,1.0,86400.0,55079.37061184429,979,2766,979.0,48560,0.12364233392270775,43005.0,12071.673984850695,1.0,86400.0,54594.406293053355,1430,3288,1430.0,64530,0.18060116190957312,43110.0,11755.673417491602,1.0,86400.0,50141.266750678515,233.05526304244995
oa_het_new_4,30,5,2,5,43200,2.777777777777778e-06,10,16,4,dp,2,10,0.1,1000,1526,98042,98041,613,1351,613.0,87100,0.4017038007863696,39614.419999999984,5488.961924710395,1.0,86400.0,9664.858317115677,658,1362,658.0,127140,0.43119266055045874,39619.465999999986,5002.271572524108,1.0,86400.0,8904.507988700881,659,1362,659.0,112380,0.43184796854521623,39619.465999999986,5179.205340801968,1.0,86400.0,8889.198586699971,729,1367,729.0,153290,0.47771952817824376,39620.0,5074.737946810523,1.0,86400.0,8041.697682031318,6825.715044736862
oa_het_new_5,60,10,2,1,86400,2.777777777777778e-06,2,4,2,dp,2,10,0.1,1000,310,34041,34274,283,295,283.0,46320,0.9129032258064517,85840.59,9565.430456042299,1.0,86400.0,4274.844714401199,277,294,277.0,59680,0.8935483870967742,85087.88,8876.013204082186,1.0,86400.0,4683.216336856514,278,296,278.0,48460,0.896774193548387,85087.88,9451.636463803758,1.0,86400.0,4618.559093910778,293,297,293.0,79660,0.9451612903225807,85910.0,8064.142145729905,1.0,86400.0,3285.604284990247,563.8662805557251
oa_het_new_6,5,1,2,0.1,21600,2.777777777777778e-06,1,1,3,dp,2,10,0.1,1000,164,1296,1296,1,52,1.0,640,0.006097560975609756,13708.8,5400.0,1.0,86400.0,50955.85975027151,1,52,1.0,630,0.006097560975609756,13741.099999999999,5400.0,1.0,86400.0,51110.85975027151,1,52,1.0,630,0.006097560975609756,13741.099999999999,5400.0,1.0,86400.0,51110.85975027151,1,52,1.0,640,0.006097560975609756,13700.0,5400.0,1.0,86400.0,50604.52885894063,19.101710557937622
oa_het_new_7,10,20,2,0.01,3600,2.777777777777778e-06,5,8,2,dp,2,10,0.1,1000,774,16559,16569,29,87,29.0,1680,0.037467700258397935,3433.0,975.7453979777029,1.0,86400.0,35122.645019042444,34,103,34.0,2000,0.04392764857881137,3578.0,970.4284368209528,1.0,86400.0,31430.538280228116,34,105,34.0,1840,0.04392764857881137,3578.0,1008.1512605042017,1.0,86400.0,31286.543071407912,51,116,51.0,2430,0.06589147286821706,3520.0,1018.8393618316892,1.0,86400.0,20215.197122346657,431.87561559677124
oa_het_new_8,10,1,2,5,86400,2.7777777777777776e-07,5,16,2,dp,2,10,0.1,1000,81,21796,21796,38,61,38.0,2050,0.4691358024691358,86158.408,20103.524840810158,1.0,86400.0,22201.663968360568,38,61,38.0,2140,0.4691358024691358,86159.92199999999,20117.1889476012,1.0,86400.0,22115.290087177375,38,61,38.0,2070,0.4691358024691358,86159.92199999999,20226.628108733374,1.0,86400.0,22115.361055413836,39,61,39.0,2170,0.48148148148148145,86160.0,19917.84710645392,1.0,86400.0,21512.330102362106,719.7713510990143
oa_het_new_9,5,20,2,1,43200,2.7777777777777776e-07,1,4,4,dp,2,10,0.1,1000,16,1783,1783,0,6,0,140,0.0,86400,86400,1.0,86400.0,49553.74607449857,0,6,0,140,0.0,86400,86400,1.0,86400.0,49797.99646607386,0,6,0,140,0.0,86400,86400,1.0,86400.0,49797.99646607386,0,7,0,150,0.0,86400,86400,1.0,86400.0,49150.948785077955,20.908679485321045
oa_het_new_10,60,5,2,0.1,3600,2.7777777777777776e-07,2,1,2,dp,2,10,0.1,1000,29,19981,20006,4,9,4.0,190,0.13793103448275862,2601.0999999999985,810.0,1.0,86400.0,7487.2169398928645,6,8,6.0,250,0.20689655172413793,2786.7999999999993,841.4285714285716,1.0,72790.9,6620.233607604263,6,8,6.0,210,0.20689655172413793,2851.4000000000015,950.0,1.0,72790.9,6609.166072171727,8,9,8.0,420,0.27586206896551724,2810.0,702.202380952381,1.0,14060.0,3096.3250182714914,356.4653675556183
oa_het_new_11,30,10,2,0.01,21600,2.7777777777777776e-07,10,8,3,dp,2,10,0.1,1000,153,24934,25098,7,70,7.0,1300,0.0457516339869281,15160.0,4431.428571428572,1.0,86400.0,33272.76192166297,14,80,14.0,2770,0.0915032679738562,16769.0,2777.7629452768915,1.0,86400.0,28631.317782046175,14,82,14.0,2320,0.0915032679738562,16769.0,3254.8657644876134,1.0,86400.0,28560.304628666538,48,140,48.0,8120,0.3137254901960784,14980.0,2904.2579928946557,1.0,86400.0,7086.834979729936,2336.1994943618774
oa_het_new_12,5,5,2,5,21600,2.777777777777778e-08,5,4,2,dp,2,10,0.1,1000,10,7941,7941,1,4,1.0,60,0.1,14040.248,5400.0,1.0,86400.0,48465.09115018986,1,4,1.0,60,0.1,14039.771999999997,5400.0,1.0,86400.0,48595.68513142575,1,4,1.0,60,0.1,14039.771999999997,5400.0,1.0,86400.0,48595.68513142575,1,4,1.0,60,0.1,14040.0,5400.0,1.0,86400.0,48357.74064491323,249.88643193244934
oa_het_new_13,10,10,2,1,3600,2.777777777777778e-08,1,16,3,dp,2,10,0.1,1000,2,6697,6697,0,1,0,40,0.0,86400,86400,1.0,86400.0,21086.099450039765,0,1,0,40,0.0,86400,86400,1.0,86400.0,21334.886269401977,0,1,0,40,0.0,86400,86400,1.0,86400.0,21334.886269401977,0,1,0,40,0.0,86400,86400,1.0,86400.0,21012.660675630308,46.64479875564575
oa_het_new_14,30,1,2,0.1,43200,2.777777777777778e-08,2,8,2,dp,2,10,0.1,1000,2,13204,13204,0,2,0,30,0.0,86400,86400,1.0,86400.0,11070.512204095128,1,1,1.0,30,0.5,15850.0,10800.0,1.0,86400.0,10583.505280018073,1,1,1.0,30,0.5,15850.0,10800.0,1.0,86400.0,10583.505280018073,1,2,1.0,40,0.5,15850.0,10800.0,1.0,86400.0,7067.341161158143,211.310467004776
oa_het_new_15,60,20,2,0.01,86400,2.777777777777778e-08,10,1,4,dp,2,10,0.1,1000,16,80207,80369,5,16,5.0,950,0.3125,63776.0,8700.342857142858,1.0,86400.0,14985.385256395346,12,16,12.0,2390,0.75,63082.0,6319.572670831221,1.0,86400.0,11239.605256321736,12,16,12.0,2020,0.75,62851.0,7372.880061115356,1.0,86400.0,11236.054577661573,12,16,12.0,3850,0.75,69370.0,4886.8800775256395,1.0,14060.0,3094.661154736441,4828.321723937988
oa_het_new_16,60,10,2,5,43200,2.777777777777778e-05,1,8,2,dp,2,10,0.1,1000,1501,25915,25867,1386,1393,1386.0,231520,0.9233844103930713,42766.479999999996,4285.930645459662,1.0,86400.0,3607.1085072541996,1365,1394,1365.0,224730,0.9093937375083277,43020.0,4543.133658421879,1.0,86400.0,3957.740724482535,1366,1395,1366.0,216290,0.9100599600266489,43020.0,4588.11347831228,1.0,86400.0,3952.3478721363167,1387,1393,1387.0,286940,0.9240506329113924,42780.0,4120.91447739095,1.0,86400.0,3736.524354342564,299.474734544754
oa_het_new_17,30,5,2,1,86400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,1000,7732,37841,37114,4195,6768,4195.0,481360,0.5425504397309882,75098.57,11088.959068937133,1.0,86400.0,11184.149593186432,4349,6779,4349.0,502580,0.5624676668391102,75098.57,10962.78836936936,1.0,86400.0,10748.9603767635,4519,6865,4519.0,474570,0.58445421624418,75061.12999999999,11451.77625499383,1.0,86400.0,10264.736771308611,5428,7073,5428.0,829360,0.7020175892395241,76750.0,9912.515819559721,1.0,32590.0,6631.781917161343,2106.9442608356476
oa_het_new_18,10,20,2,0.1,21600,2.777777777777778e-05,10,4,2,dp,2,10,0.1,1000,15562,65908,64145,4418,9472,4418.0,362220,0.28389667137900015,21557.800000000003,4866.820258899086,1.0,86400.0,21579.03849001248,4444,9293,4444.0,347120,0.28556740778820205,21552.6,4903.985779027998,1.0,86400.0,21824.14246368529,4448,9373,4448.0,333610,0.2858244441588485,21552.6,4948.8626507023055,1.0,86400.0,21716.815329509685,4671,9623,4671.0,257240,0.3001542218223879,21580.0,5516.545321237133,1.0,86400.0,21079.39538574444,4232.015508174896
oa_het_new_19,5,1,2,0.01,3600,2.777777777777778e-05,2,16,4,dp,2,10,0.1,1000,3149,2646,2646,7,197,7.0,2830,0.0022229279136233727,1097.0,393.46938775510205,1.0,86400.0,52988.69834681513,7,204,7.0,3240,0.0022229279136233727,984.0,362.2820037105751,1.0,86400.0,52072.17696243088,7,205,7.0,3140,0.0022229279136233727,984.0,373.6791779648923,1.0,86400.0,52020.62870774691,4,228,4.0,3600,0.0012702445220704986,630.0,248.57142857142858,1.0,86400.0,49683.2085463904,62.591846227645874
oa_het_new_20,30,20,2,5,3600,2.777777777777778e-06,1,1,2,dp,2,10,0.1,1000,144,13392,13391,25,41,25.0,1050,0.1736111111111111,3566.358,966.5714285714286,1.0,43104.25600000001,6715.2290171534,25,41,25.0,1070,0.1736111111111111,3565.4600000000064,961.8337662337663,1.0,43110.0,6952.350768095049,25,41,25.0,1040,0.1736111111111111,3565.4600000000064,968.5714285714286,1.0,43110.0,6952.27520561052,25,41,25.0,1030,0.1736111111111111,3560.0,966.1714285714286,1.0,43110.0,6665.238532116919,97.2618134021759
oa_het_new_21,60,1,2,1,21600,2.777777777777778e-06,5,8,4,dp,2,10,0.1,1000,740,61121,61443,169,655,169.0,37800,0.22837837837837838,18767.589999999997,2321.392929802048,1.0,86400.0,6179.95133175115,232,649,232.0,61370,0.31351351351351353,18518.98999999999,1880.1039978422236,1.0,86400.0,6290.126240534318,235,650,235.0,50970,0.31756756756756754,20109.399999999994,2148.3855435895844,1.0,86400.0,6264.034274865953,284,677,284.0,90920,0.3837837837837838,20110.0,1763.914331549736,1.0,86400.0,3549.1512329584216,2840.245660305023
oa_het_new_22,5,10,2,0.1,86400,2.777777777777778e-06,10,16,2,dp,2,10,0.1,1000,1538,26618,26548,301,663,301.0,31480,0.19570871261378414,85918.79999999999,21737.489893524336,1.0,86400.0,48832.16798330693,310,666,310.0,31490,0.20156046814044212,85878.6,21570.357066542732,1.0,86400.0,48783.18220947665,310,664,310.0,30410,0.20156046814044212,85878.6,21800.26728960543,1.0,86400.0,48765.677476176286,289,654,289.0,17490,0.18790637191157347,85920.0,22838.11729893897,1.0,86400.0,49259.589097875796,1105.4529564380646
oa_het_new_23,10,5,2,0.01,43200,2.777777777777778e-06,2,4,3,dp,2,10,0.1,1000,287,4732,4736,25,170,25.0,4150,0.08710801393728224,29129.0,6482.905414585415,1.0,86400.0,31922.207260438918,40,177,40.0,6530,0.13937282229965156,29327.0,6038.4875124875125,1.0,86400.0,28925.727193322447,43,177,43.0,5640,0.14982578397212543,29327.0,6655.7093579615,1.0,86400.0,28711.715803153973,55,205,55.0,9870,0.1916376306620209,29050.0,5657.3935223221915,1.0,86400.0,20601.926034600117,81.12888836860657
oa_het_new_24,10,10,2,5,21600,2.7777777777777776e-07,2,1,4,dp,2,10,0.1,1000,31,9079,9079,1,17,1.0,380,0.03225806451612903,12799.178,2160.0,1.0,86400.0,21282.08304962548,1,17,1.0,370,0.03225806451612903,12798.624000000002,2160.0,1.0,86400.0,21356.92055485117,1,17,1.0,370,0.03225806451612903,12798.624000000002,2160.0,1.0,86400.0,21356.92055485117,1,17,1.0,370,0.03225806451612903,12800.0,2160.0,1.0,86400.0,21241.339874710065,118.70703983306885
oa_het_new_25,5,5,2,1,3600,2.7777777777777776e-07,10,8,2,dp,2,10,0.1,1000,150,18329,18341,1,11,1.0,190,0.006666666666666667,789.7000000000044,400.0,1.0,86400.0,49160.58967705005,1,11,1.0,210,0.006666666666666667,479.0699999999997,327.27272727272725,1.0,86400.0,49261.82998409258,1,11,1.0,190,0.006666666666666667,865.1399999999994,400.0,1.0,86400.0,49261.83118300438,1,11,1.0,220,0.006666666666666667,480.0,300.0,1.0,86400.0,49208.375658271805,1033.343941450119
